 (1, 0, 0, 0, 0, 0, 0), (0, 1/6, 1/6, 1/6, 1/6, 1/6, 1/6), (0, 1/6, 1/6, 1/6, 1/6, 1/6, 1/6), (0, 1/6, 1/6, 1/6, 1/6, 1/6, 1/6), (0, 1/6, 1/6, 1/6, 1/6, 1/6, 1/6), (0, 1/6, 1/6, 1/6, 1/6, 1/6, 1/6), (0, 1/6, 1/6, 1/6, 1/6, 1/6, 1/6) 
 (1/2, 0, 0, 0, 0, 1/2, 0), (0, 1/5, 1/5, 1/5, 1/5, 0, 1/5), (0, 1/5, 1/5, 1/5, 1/5, 0, 1/5), (0, 1/5, 1/5, 1/5, 1/5, 0, 1/5), (0, 1/5, 1/5, 1/5, 1/5, 0, 1/5), (1/2, 0, 0, 0, 0, 1/2, 0), (0, 1/5, 1/5, 1/5, 1/5, 0, 1/5) 
 (1/2, 0, 0, 0, 1/2, 0, 0), (0, 1/5, 1/5, 1/5, 0, 1/5, 1/5), (0, 1/5, 1/5, 1/5, 0, 1/5, 1/5), (0, 1/5, 1/5, 1/5, 0, 1/5, 1/5), (1/2, 0, 0, 0, 1/2, 0, 0), (0, 1/5, 1/5, 1/5, 0, 1/5, 1/5), (0, 1/5, 1/5, 1/5, 0, 1/5, 1/5) 
 (1/2, 0, 0, 1/2, 0, 0, 0), (0, 1/5, 1/5, 0, 1/5, 1/5, 1/5), (0, 1/5, 1/5, 0, 1/5, 1/5, 1/5), (1/2, 0, 0, 1/2, 0, 0, 0), (0, 1/5, 1/5, 0, 1/5, 1/5, 1/5), (0, 1/5, 1/5, 0, 1/5, 1/5, 1/5), (0, 1/5, 1/5, 0, 1/5, 1/5, 1/5) 
 (1/2, 0, 1/2, 0, 0, 0, 0), (0, 1/5, 0, 1/5, 1/5, 1/5, 1/5), (1/2, 0, 1/2, 0, 0, 0, 0), (0, 1/5, 0, 1/5, 1/5, 1/5, 1/5), (0, 1/5, 0, 1/5, 1/5, 1/5, 1/5), (0, 1/5, 0, 1/5, 1/5, 1/5, 1/5), (0, 1/5, 0, 1/5, 1/5, 1/5, 1/5) 
 (1/2, 0, 1/4, 1/4, 0, 1/4, -1/4), (0, 1/5, 1/10, 1/10, 1/5, 1/10, 3/10), (1/4, 1/10, 7/40, 7/40, 1/10, 7/40, 1/40), (1/4, 1/10, 7/40, 7/40, 1/10, 7/40, 1/40), (0, 1/5, 1/10, 1/10, 1/5, 1/10, 3/10), (1/4, 1/10, 7/40, 7/40, 1/10, 7/40, 1/40), (-1/4, 3/10, 1/40, 1/40, 3/10, 1/40, 23/40) 
 (1/2, 0, 1/4, 1/4, 0, -1/4, 1/4), (0, 1/5, 1/10, 1/10, 1/5, 3/10, 1/10), (1/4, 1/10, 7/40, 7/40, 1/10, 1/40, 7/40), (1/4, 1/10, 7/40, 7/40, 1/10, 1/40, 7/40), (0, 1/5, 1/10, 1/10, 1/5, 3/10, 1/10), (-1/4, 3/10, 1/40, 1/40, 3/10, 23/40, 1/40), (1/4, 1/10, 7/40, 7/40, 1/10, 1/40, 7/40) 
 (1/2, 0, 1/4, -1/4, 0, 1/4, 1/4), (0, 1/5, 1/10, 3/10, 1/5, 1/10, 1/10), (1/4, 1/10, 7/40, 1/40, 1/10, 7/40, 7/40), (-1/4, 3/10, 1/40, 23/40, 3/10, 1/40, 1/40), (0, 1/5, 1/10, 3/10, 1/5, 1/10, 1/10), (1/4, 1/10, 7/40, 1/40, 1/10, 7/40, 7/40), (1/4, 1/10, 7/40, 1/40, 1/10, 7/40, 7/40) 
 (1/2, 0, 1/4, 1/4, 1/4, 0, -1/4), (0, 1/5, 1/10, 1/10, 1/10, 1/5, 3/10), (1/4, 1/10, 7/40, 7/40, 7/40, 1/10, 1/40), (1/4, 1/10, 7/40, 7/40, 7/40, 1/10, 1/40), (1/4, 1/10, 7/40, 7/40, 7/40, 1/10, 1/40), (0, 1/5, 1/10, 1/10, 1/10, 1/5, 3/10), (-1/4, 3/10, 1/40, 1/40, 1/40, 3/10, 23/40) 
 (1/2, 0, -1/8, 3/8, 1/4, 1/8, -1/8), (0, 1/5, 1/4, 1/20, 1/10, 3/20, 1/4), (-1/8, 1/4, 11/32, -1/32, 1/16, 5/32, 11/32), (3/8, 1/20, -1/32, 47/160, 17/80, 21/160, -1/32), (1/4, 1/10, 1/16, 17/80, 7/40, 11/80, 1/16), (1/8, 3/20, 5/32, 21/160, 11/80, 23/160, 5/32), (-1/8, 1/4, 11/32, -1/32, 1/16, 5/32, 11/32) 
 (1/2, 0, 3/8, -1/8, 1/4, 1/8, -1/8), (0, 1/5, 1/20, 1/4, 1/10, 3/20, 1/4), (3/8, 1/20, 47/160, -1/32, 17/80, 21/160, -1/32), (-1/8, 1/4, -1/32, 11/32, 1/16, 5/32, 11/32), (1/4, 1/10, 17/80, 1/16, 7/40, 11/80, 1/16), (1/8, 3/20, 21/160, 5/32, 11/80, 23/160, 5/32), (-1/8, 1/4, -1/32, 11/32, 1/16, 5/32, 11/32) 
